year,id_,incom16,income,rincome,happy,mntlhlth
2004,380,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,5
2004,389,AVERAGE,.r:  Refused,.r:  Refused,3,2
2004,398,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2004,399,AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2004,400,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2004,404,AVERAGE,"$25,000 or more",$25000 OR MORE,2,15
2004,408,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2004,411,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,429,AVERAGE,"$25,000 or more",$25000 OR MORE,2,11
2004,456,BELOW AVERAGE,"$15,000 to $19,999",$15000 - 19999,2,8
2004,464,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2004,481,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2004,491,.i:  Inapplicable,"$10,000 to $14,999",.i:  Inapplicable,2,2
2004,494,AVERAGE,"$25,000 or more",$20000 - 24999,2,5
2004,505,BELOW AVERAGE,"$25,000 or more",$1000 TO 2999,1,7
